survey_id	event_id	site_count	site_nesting_description	verbatim_site_descriptions	verbatim_site_names	geospatial_scope_area_value	geospatial_scope_area_unit	total_area_sampled_value	total_area_sampled_unit	reported_weather	reported_extreme_conditions	event_duration_value	event_duration_unit	taxon_completeness_reported	taxon_completeness_protocols	is_absence_reported	absent_taxa	has_non_target_taxa	non_target_taxa	are_non_target_taxa_fully_reported	has_non_target_organisms	verbatim_target_scope	identified_by	identified_by_id	identification_references	compilation_types	compilation_source_types	inventory_types	protocol_names	protocol_descriptions	protocol_references	is_abundance_reported	is_abundance_cap_reported	abundance_cap	is_vegetation_cover_reported	is_least_specific_target_category_quantity_inclusive	has_vouchers	voucher_institutions	has_material_samples	material_sample_types	sampling_performed_by	sampling_performed_by_id	is_sampling_effort_reported	sampling_effort_protocol	sampling_effort_protocol_id	sampling_effort_value	sampling_effort_unit	information_withheld	data_generalizations
BROKE_WEST_RMT_001_RMT1	BROKE_WEST_RMT_001_RMT1	1	sampling station		RMT_001											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_001_RMT8	BROKE_WEST_RMT_001_RMT8	1	sampling station		RMT_001											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_002_RMT1	BROKE_WEST_RMT_002_RMT1	1	sampling station		RMT_002											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_002_RMT8	BROKE_WEST_RMT_002_RMT8	1	sampling station		RMT_002											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_003_RMT1	BROKE_WEST_RMT_003_RMT1	1	sampling station		RMT_003											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_003_RMT8	BROKE_WEST_RMT_003_RMT8	1	sampling station		RMT_003											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_022_RMT1	BROKE_WEST_RMT_022_RMT1	1	sampling station		RMT_022											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_022_RMT8	BROKE_WEST_RMT_022_RMT8	1	sampling station		RMT_022											f				t						survey only		restricted search taxonomic inventory process	target trawls on acoustically detected aggregations		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_004_RMT1	BROKE_WEST_RMT_004_RMT1	1	sampling station		RMT_004											f				t						survey only		restricted search taxonomic inventory process	Pre-planned routine hauls with standard double oblique tow		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
BROKE_WEST_RMT_004_RMT8	BROKE_WEST_RMT_004_RMT8	1	sampling station		RMT_004											f				t						survey only		restricted search taxonomic inventory process	Pre-planned routine hauls with standard double oblique tow		Kawaguchi S., Nicol S., Virtue P., Davenport S., Casper R., Swadling K., Hosie G.W., 2010. Krill demography and large scale distribution in the Western Indian Ocean sector of the Southern Ocean (CCAMLR Division 58.4.2) in Austral summer of 2006. Deep-Sea Research II 57 (9–10), 934–947.					t					Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	t	RMT setup is described in Baker, A. de C., M. R. Clarke, and M. J. Harris. ""The NIO combination net (RMT 1+ 8) and further developments of rectangular midwater trawls."" Journal of the Marine Biological Association of the United Kingdom 53.1 (1973): 167-184. | Towing speed is 4.5 km/h as stated in samplingEffortValue and samplingEffortUnit.		4.5	km/h		
